iter,x11,x10,x2,x3:B1,x3:B2,x3:B3,v
291,0.018500404316715,0.0672310015204443,5.06054734300295e-06,5.05252114884199e-05,7.21717555676455e-05,5.43825142629317e-05,0.00332929664630027
281,0.0163970395270871,0.0713582484124662,5.05086703877332e-06,4.6415372664756e-05,8.55340315990773e-05,6.37805237111937e-05,0.00316565297306202
102,0.0177297433525425,0.0734164575255893,5.17515369951362e-06,4.70826170177398e-05,7.26595032483753e-05,5.26890229937003e-05,0.00323111611580049
122,0.0190855282934892,0.107702496415047,5.02387065523869e-06,7.90144685876905e-05,9.86874942368872e-05,9.8912157343654e-05,0.00326432459117463
132,0.016400455121596,0.0697767121039742,4.68679954426392e-06,5.25394134999524e-05,8.34848673466868e-05,6.33735510373666e-05,0.00307379833586221
112,0.0165491468795549,0.0689174562811338,4.60532001120059e-06,5.88650556515835e-05,9.1410359564013e-05,6.50132651325002e-05,0.00310713712064039
351,0.0160877211614554,0.0706621591287647,4.80785767610274e-06,6.68137894046528e-05,8.63328959836455e-05,6.54772407043964e-05,0.00323742710902912
361,0.0191269901517834,0.0714436047928404,5.147539013838e-06,4.62151516632221e-05,6.35872145930028e-05,7.47315694989756e-05,0.00344376513002345
301,0.0182651291617802,0.0678562670251908,5.02849256517241e-06,4.79863157877344e-05,6.81029097721672e-05,7.39338599949466e-05,0.00315396460422158
192,0.0175339005701925,0.0685641088061909,4.93163195223242e-06,5.02262568731188e-05,7.43105638900041e-05,5.64643858238482e-05,0.00303012695682703
341,0.018093089866965,0.0720568443862268,5.09536322178343e-06,5.3211955652405e-05,6.94544424932206e-05,5.92294112547867e-05,0.0030951722179536
321,0.0182603788571716,0.0826095089858444,4.88492096649079e-06,6.45431232033273e-05,8.95103201653196e-05,7.360419849755e-05,0.00311010529935367
142,0.0183562295711369,0.0680840728913336,4.85223599841816e-06,5.80651831172779e-05,8.82130733820581e-05,6.78259708680376e-05,0.00322915579006399
162,0.0184395486395987,0.0685106008099328,5.10683536093802e-06,5.54259111126409e-05,9.94591907045648e-05,6.59320646538564e-05,0.00331755514261722
152,0.0180491205224228,0.0750470414923729,4.49034218900752e-06,4.79558588133973e-05,8.29090113430742e-05,7.63792126962981e-05,0.00302883931947009
311,0.0186014476493011,0.0500549722032604,5.22335411845985e-06,3.19160276008296e-05,4.66630388190381e-05,4.15091381680349e-05,0.00313557957706072
3,0.018523811646149,0.0800606497480763,5.19199721554579e-06,6.83507082653665e-05,7.97523543668615e-05,7.04090010233557e-05,0.00317693594164751
13,0.0170758512835532,0.069889566471882,4.92699182957288e-06,6.61442493330867e-05,8.24962065839204e-05,6.81047284226368e-05,0.00329917570139468
371,0.0177170409762582,0.0822236348549025,5.01092061361975e-06,7.00113356649406e-05,7.21986653337344e-05,7.53748847225328e-05,0.00315791627333717
391,0.0171210213976102,0.061815122909992,4.83498136733087e-06,4.36194736431285e-05,8.68687061571576e-05,7.00234693173562e-05,0.0030970463623978
381,0.0167348927126814,0.0713649218278761,5.16271056159576e-06,5.68791933427767e-05,6.85631312123605e-05,5.78763278578654e-05,0.0031761081655432
83,0.0166111016202664,0.0567926734955505,4.76778265522291e-06,3.92944864126715e-05,6.99635982729436e-05,4.89879269502776e-05,0.00316983681492482
