iter,factor(E.prev)1,x2,factor(E.prev)0,x5,x6,v
261,0.0300749427404635,7.12910940305998e-06,0.0596106169079803,2.66218140154284e-05,0.00955322873060811,0.00376220341883139
221,0.0251196385575657,7.12015058101716e-06,0.0512552004911015,2.20741533871998e-05,0.00900029994488101,0.00358045915890407
241,0.025732034515257,7.21451165528187e-06,0.0556903706654654,2.77772118803756e-05,0.00888152666869803,0.00356121433005311
231,0.0265267864854267,6.49522420358485e-06,0.0600931137325326,2.95063678551578e-05,0.00952314120418427,0.00357992852636813
251,0.0285823414839136,7.25288793895409e-06,0.0656908590991141,3.12839880169514e-05,0.00962437747397112,0.00381585657065586
201,0.0267652833779836,6.85991959503274e-06,0.0659807239857254,3.33473897032243e-05,0.00910612824158243,0.00367994667343494
211,0.0256595805494652,6.53402279608792e-06,0.05598231048202,2.52536136329481e-05,0.0087345230479445,0.00352867562755461
32,0.0257552044464783,6.66169225199127e-06,0.0574696077401557,2.54023553061692e-05,0.00930772721009785,0.00365269906310922
22,0.0286995950816435,7.01650998845395e-06,0.0586869740886722,2.74558304794864e-05,0.00996102054157988,0.00362784617775442
42,0.0279523239409177,7.05218995603479e-06,0.0585028888709652,2.7279337812799e-05,0.00898591732711445,0.00363478141944308
12,0.0265366708879036,6.9781607742159e-06,0.0545558598193503,2.88347205069873e-05,0.0091226276061154,0.00358582875754569
82,0.0286169691649947,7.1667386745555e-06,0.0541175666457297,2.53264650692581e-05,0.00968767125425682,0.00364355439376112
72,0.0317966547430528,7.15062852054509e-06,0.0637493464032832,2.91786197747549e-05,0.00953641536819482,0.00367790161953156
92,0.0294759669737023,6.74835501125606e-06,0.0546587532791936,2.28198048546254e-05,0.00891179961549448,0.00356478773027862
62,0.0240542934296813,6.63928321448375e-06,0.0654014889751724,3.28444952893362e-05,0.00937316478753799,0.00354297088160694
52,0.0333318662547954,7.17248614806027e-06,0.0643576267728251,2.88567469189995e-05,0.00914770208110339,0.00372755305246637
162,0.0265753568407797,7.09803621210152e-06,0.0561948578022586,2.8175485913759e-05,0.00978240848127985,0.00376565446947796
182,0.0300072563467396,7.51260100404695e-06,0.0566491425389677,2.81054874077911e-05,0.00931462268592717,0.00368627511159092
122,0.0275008240043237,6.80316650050174e-06,0.0595516209604686,2.7205374680755e-05,0.00951526724019046,0.00382864956883224
142,0.0269367191792975,6.86235325594657e-06,0.0563821640950632,2.69617907896985e-05,0.00950986817812057,0.00377380746816262
132,0.0255047743366393,7.53084928601864e-06,0.0541186263354013,2.506191989273e-05,0.00911738236797148,0.00361945829042319
152,0.0262431134143921,6.41587097408537e-06,0.0556587626683165,2.65233734637354e-05,0.00832661585158047,0.00333570109095375
172,0.027560782458723,7.4378610911569e-06,0.052806938893866,2.21990912593022e-05,0.0089007993731753,0.00353395675936448
192,0.0260836299637715,6.69525700768869e-06,0.0582060027227307,2.77262917423402e-05,0.00862789132250625,0.00345394345825194
112,0.0246673078925985,6.76046286438668e-06,0.05481232330175,2.65193983984618e-05,0.0097550213470258,0.00367446762446435
2,0.0261985809919199,6.95540114333708e-06,0.0623297073047359,2.98354442779856e-05,0.0096645846276536,0.00369825381976098
371,0.0286833040603501,7.2044354414274e-06,0.0641394964659578,2.96515992001841e-05,0.01033115350203,0.00373960731742258
331,0.0272737409346817,7.02889236516287e-06,0.0604885843778002,2.8693944007851e-05,0.00971129891455356,0.00373943147776312
311,0.0285736621638469,7.24062678932464e-06,0.0552916996733089,2.56933795291573e-05,0.00931543907788831,0.00369137576793205
321,0.0252618246661801,6.5274479823075e-06,0.0528732964884506,2.50434878130497e-05,0.00945761972123033,0.00347439162239131
391,0.0272795704508202,7.28767485109832e-06,0.0550346553566932,2.63430639646513e-05,0.00959951710921546,0.00365452592232723
361,0.0333901949229305,7.27902420402758e-06,0.0641689508027961,2.8225610213372e-05,0.0102406739215973,0.00379952913347579
301,0.0246638720576436,6.83836815432315e-06,0.0523422247019201,2.67773914045366e-05,0.00870607759024681,0.00356339328800081
381,0.0253333515843519,6.92962286208435e-06,0.0705652754508097,3.79165790385416e-05,0.00976224674766411,0.00359592362479273
351,0.0259513903509634,7.47312950481723e-06,0.0570864734503281,2.83206565035471e-05,0.00955550960177092,0.00374669986681808
341,0.0261055678117031,6.47770493885788e-06,0.0528972972590816,2.32170075669277e-05,0.0086334554629441,0.00346757138131249
102,0.026912728738153,6.75154943007646e-06,0.0517771022705271,2.17425254598784e-05,0.0100809110037761,0.0036620762134125
292,0.0248749638744158,7.32431620270441e-06,0.0594830133946244,2.8253712769519e-05,0.00973252429220281,0.00375153951409206
272,0.0258902002202976,6.75911806406053e-06,0.0585320721619795,3.13591398279649e-05,0.00986460655829264,0.00367358141298439
282,0.0263368219228577,7.12057646606628e-06,0.0644867993215023,3.35587489931695e-05,0.00925018552782571,0.00384358507559578
262,0.0270496962055703,7.17084841396426e-06,0.0679989550688123,3.44495941569319e-05,0.00896342502903319,0.00370693855848908
242,0.0293367332378862,7.07023100473738e-06,0.0626120178905981,2.95030793747861e-05,0.00872043785726078,0.003631276703452
212,0.026595391191268,7.32548694309222e-06,0.0563606691006392,2.52039875928865e-05,0.00991143302360513,0.00366332298270475
232,0.0254038724555348,6.51231191079196e-06,0.0508283360697349,2.51393237216879e-05,0.00921743515394074,0.00356345981155772
202,0.0289222914567266,6.10003114621858e-06,0.0613344912780096,2.71951904899848e-05,0.00898729165585066,0.0035172592494849
222,0.0269715918705029,7.27487159440832e-06,0.0566383652955243,2.77566192773445e-05,0.00956343128522844,0.00384195152139212
252,0.0305019561683257,6.96566599693376e-06,0.0582103665944904,2.54708940440491e-05,0.00912085522352869,0.00358568510140837
33,0.0297951730350179,6.92606046116024e-06,0.0573448949383547,2.56416795290266e-05,0.00951762883600602,0.00367752736008526
13,0.0249885311798446,6.62948505688347e-06,0.0604254736055345,2.96205636955024e-05,0.00930923425179657,0.00363365020629906
23,0.0282966938901236,6.81187037635834e-06,0.0623951931937582,2.90481291865385e-05,0.00927991429009957,0.0036403258394126
43,0.0262106817146495,7.44312409952694e-06,0.0449992654221962,2.15579008381388e-05,0.00937162539811381,0.00342219205105435
451,0.0294637065261213,7.66943039013079e-06,0.0630588105752888,3.0484072440907e-05,0.0098309742610621,0.00386260571455156
481,0.0268367196368488,6.81307436891568e-06,0.0521924270146124,2.33279215822517e-05,0.00921659816061513,0.00358971770603161
441,0.0271737488606575,6.97909100843889e-06,0.070892614104507,3.21179692382825e-05,0.00919601136895969,0.00369493623277437
471,0.0280277669946452,7.15574674374057e-06,0.0624654937497305,3.00190554307327e-05,0.00952892059948863,0.00372364988018429
461,0.0264314918395295,6.25464815807204e-06,0.0498600883689746,2.11803817278461e-05,0.00865187206549187,0.0034556615616608
83,0.026098260321276,6.52259144705186e-06,0.0513305567426725,2.14417037219336e-05,0.00939817062184855,0.0034706326771959
401,0.0277720665819706,6.98611133226087e-06,0.0738222109187588,3.49145084210797e-05,0.00955408694225118,0.00361790291894176
431,0.0268038761034656,7.21277927572796e-06,0.0560652927783468,2.46329352089014e-05,0.010467873189804,0.00381266759519499
411,0.0315446315130605,6.90040595717339e-06,0.0641934524035991,2.88884415975094e-05,0.00924145442073406,0.00355861494541776
93,0.0291991457314748,7.39491365902162e-06,0.0617560993391469,2.77714132841733e-05,0.00981177362815911,0.00372703710146336
63,0.0257465641727895,6.77280006940466e-06,0.0568729112367588,2.79456217342337e-05,0.00961231599042168,0.00358834499078676
53,0.0263065215536815,6.58633504529702e-06,0.0667641424041901,3.32935122341066e-05,0.0092617483149194,0.00361428514920423
73,0.0249462592628459,6.64207105128575e-06,0.0520915655313122,2.49899281649978e-05,0.00939526137613717,0.00372420091551351
163,0.0309335020258546,7.34285324058928e-06,0.0620560740639935,2.80022794485979e-05,0.00927949849743281,0.0036397949000441
183,0.0294730843414615,7.46328562544391e-06,0.0539225591995154,2.48187592724994e-05,0.00968397595020414,0.00361879646875682
133,0.03036647746153,7.46624685621794e-06,0.0646592564499437,2.78333669730343e-05,0.0101037332465302,0.0037073420447141
143,0.0278076279599523,7.23278318387612e-06,0.050578837013227,2.37160691938319e-05,0.00921327387768965,0.00363292506245914
421,0.0303952756170743,6.89198244927105e-06,0.0645127660996696,2.73002341641881e-05,0.00983604340277722,0.00356573269087002
123,0.025944488948469,7.04411372298258e-06,0.0515203019760659,2.6629323269248e-05,0.00987555577059953,0.003742441881816
153,0.0250458256946245,6.8852385998933e-06,0.0607003260842105,3.13906842255125e-05,0.00938654479442875,0.00362243365177294
113,0.0300866412546082,7.74689697945355e-06,0.0585610804425248,2.73673387799784e-05,0.00997214517671782,0.00394009759087429
