iter,x11,x10,x2,x3:B1,x3:B2,x3:B3,v
901,0.0177424016969407,0.0667905189003738,4.98329581825124e-06,5.29171493703491e-05,7.99623614272319e-05,5.34384623625658e-05,0.00309687486941254
261,0.0187307555277322,0.0789988453896347,4.92428105207263e-06,5.49100572748461e-05,7.17780922413383e-05,7.62561506680552e-05,0.00312946520070471
711,0.017985430771236,0.0572965103717727,5.03125143071054e-06,4.12471378604892e-05,6.87292533950278e-05,5.46484042753459e-05,0.00312527781321627
561,0.01945765200985,0.0622605907077838,5.18413329368818e-06,4.90341153108817e-05,7.37755516291817e-05,5.09705478769229e-05,0.00319153696307857
681,0.0205384417243026,0.065128834382573,5.04474697495952e-06,4.00845460055062e-05,5.93806306800019e-05,5.83891859732161e-05,0.00318009760105582
541,0.0189768503365355,0.0602024675661504,4.95706598633801e-06,4.77984819875669e-05,4.82432706695432e-05,5.25745813818704e-05,0.00293171322518991
291,0.01941599648537,0.0649142472238571,4.8852048942021e-06,4.7813496883151e-05,6.5436682221807e-05,5.5742198098937e-05,0.00315218493727961
731,0.0195362123158138,0.0742805793126552,4.97139774331095e-06,5.9116430859634e-05,0.000107332898554157,6.71422961690248e-05,0.00311499799324395
751,0.0199060007172873,0.0626645370354424,5.21153905634881e-06,5.32097076558691e-05,6.6494095437389e-05,5.43035486929009e-05,0.0031114507697841
231,0.0205382979402518,0.0598870241484209,4.96253936820092e-06,3.81195439709214e-05,4.83788387546658e-05,4.98015297512008e-05,0.00313184197604641
531,0.0193112212116473,0.0602657681908878,5.20902915255455e-06,4.46540090244569e-05,7.23840905333816e-05,4.26051453143073e-05,0.00310027818557046
241,0.0194385271276881,0.0612625249019019,5.44490835342783e-06,4.45811413182759e-05,7.38881703152826e-05,4.83911634025765e-05,0.00326375305381951
221,0.0192322572697034,0.0606137496500554,5.2695646244143e-06,4.57108750019675e-05,6.27588227923911e-05,5.90655227335572e-05,0.00320046196874373
301,0.0182928637629054,0.0642212098864492,4.89793365218857e-06,4.65826503290689e-05,6.28758916217001e-05,7.1817322644277e-05,0.00300007793192053
671,0.0196811094891396,0.0611043419975185,4.98836266073429e-06,3.96980431752031e-05,6.20273768897859e-05,5.90880942020071e-05,0.00302612113257364
311,0.0193405133868941,0.0528518397954141,5.18002204299789e-06,3.79853910219802e-05,5.20075539210402e-05,4.15955297254231e-05,0.00308837995606594
281,0.0176043095986331,0.0675006930847609,5.1651144482235e-06,4.6295046848775e-05,9.04738824456759e-05,6.13736434812321e-05,0.00307315513293381
251,0.0173803612006658,0.0705792564658445,4.73715823572131e-06,5.49998602541737e-05,9.26569600927682e-05,6.77823138197738e-05,0.00308637295429287
211,0.0190884110451109,0.0633074546658914,5.00795541115782e-06,4.30399059214234e-05,6.28544892694824e-05,5.55150564641265e-05,0.00304811398353607
331,0.0175351722805817,0.0616871442077201,5.01493242421491e-06,5.10915398881928e-05,7.5300926251839e-05,6.7085308643204e-05,0.00305268470710841
341,0.0194853763068986,0.063630392767479,5.21722409762881e-06,4.72382342676051e-05,6.50499167270325e-05,5.38942277228723e-05,0.00301986041570586
471,0.0174050347189088,0.0642897223783684,5.04555940474064e-06,5.61536205662239e-05,7.41017251325144e-05,5.78967052217872e-05,0.00318479807166494
151,0.0194315076550552,0.0608999356819995,4.819284134722e-06,4.13607749432504e-05,5.87853373933521e-05,6.17542434402833e-05,0.00313562751517934
581,0.0205074898090273,0.0749204655638483,4.95766644600379e-06,5.66638039797771e-05,0.000103318045879471,6.48473604820175e-05,0.00307560105556437
631,0.0187908632348186,0.0706732484167828,4.93970969942642e-06,5.5825393197085e-05,7.941617569261e-05,5.90302897214487e-05,0.00320755602563269
571,0.0191834104892039,0.0747785824595844,4.8091458775703e-06,4.56951708811796e-05,0.000107723362505717,6.94173245415503e-05,0.00299808079310248
141,0.0209568076484027,0.0684859554278912,4.85630723487472e-06,5.55482263243121e-05,6.50526227573911e-05,6.67432249440613e-05,0.00317978470317823
181,0.0196182349329172,0.0622875913721771,4.91201304542381e-06,4.95429834543441e-05,8.67877861925938e-05,5.67235402678732e-05,0.00316255153287007
601,0.019285583783788,0.0672332404089082,4.99323432594291e-06,4.89509387797887e-05,7.42185128763516e-05,6.64566535949832e-05,0.00308394427833619
641,0.0191444448879856,0.0572254162965838,5.11617092450238e-06,3.85628541228612e-05,5.85630968848148e-05,5.43599708691639e-05,0.00319812040853206
521,0.0181009974327256,0.0744255051920581,4.53924485728205e-06,5.76530837409938e-05,6.7841603795762e-05,6.2416175211648e-05,0.00298911809930475
171,0.0182382687898079,0.0560643292227395,4.73753079530883e-06,3.94371714751397e-05,6.29941867614994e-05,4.85572098686152e-05,0.00308547886504881
191,0.0183191074482836,0.0591141752476573,5.34661128927551e-06,3.76052712638719e-05,5.72556526629766e-05,5.48227503820928e-05,0.00324470478789047
201,0.0215926077395493,0.0677146642403095,5.45569022400101e-06,5.79883219693367e-05,7.9566928984155e-05,6.67980497869005e-05,0.00327478878306888
131,0.0180093731322657,0.0627818635623874,5.08372467292652e-06,4.65089445524247e-05,7.71830628205054e-05,5.34890524638279e-05,0.00306200602909779
121,0.0188355329923604,0.0620349098442475,5.13320562326838e-06,4.97476304966647e-05,7.89048238690368e-05,5.15427795797954e-05,0.00310453307300371
